Entry,C1,C2,C3,F1,F2,F3
R4GJ21,4834,3687,6836,378,641,803
F1P3X1,4540,3651,7067,418,661,879
F1P493,4317,2950,5640,311,560,648
F1P3W8,4278,3089,5713,321,564,717
R4GIG1,3356,2368,4157,214,416,484
R4GLP6,3275,2543, ,60,131,261
F1P3X4,3246,2354,4381,244,447,557
R4GMK5,2933,2026,4404,200,427,423
P13538,2929,2022,4330,200,424,423
P02565,2879,2159,3843,206,413,472
F1NJ08,2441,1660,1129,3568,4603,3554
P09654,2159,1389,1010,3259,3818,3169
P19121,1960,2152,1608,2831,2530,3250
F2Z4L6,1905,2017,1561,2699,2474,3126
P68139,1826,1747,3052,694,729,765
P00356,1764,920,1918,773,554,981
F1NH87,1759,915,1912,768,551,977
P08023,1719,1647,2872,698,706,748
P68034,1719,1647,2872,698,706,748
F1P476,1719,1647,2872,698,706,748
P63270,1705,1638,2859,686,696,734
F1N8P3,1656,1588,2783,632,666,685
F1P2F0,1337,2380, ,2106,1342,2299
P15989,1332,2369, ,2088,1338,2281
Q5ZMQ2,1280,1046,827,1376,1258,1413
P53478,1276,1044,827,1375,1254,1411
P60706,1276,1044,827,1375,1255,1411
F1NDC6,1059,650,1428,56,112,140
F1NM49,863,421,1290,54,106,108
P00565,840,680,1233,85,185,225
P29616,800,367,1133,48,88,97
E1C523,794,613, ,69,133,186
F1NII7,751,647, ,638,1108,1048
P09244,700,593,432,777,730,885
P13585,688,368,1481,53,74,88
E1BQC2,684,550,364,668,627,737
F1NYB1,648,510,395,649,589,722
P02789,642,529,385,666,593,702
P09206,625,500,384,636,570,700
F1P1D5,588,366, ,53,102,101
F1NCD4,566,315, ,621,582,611
P02609,564,477,921,68,94,135
P14105,563,315, ,619,580,607
P00548,529,350,579,214,256,278
F1NW43,524,336,543,232,285,300
P15988,522,801,526,941,501,1071
R4GKA6,522,801,526,941,501,1071
G1K342,521,444,352,576,514,637
P02604,518,358,712,66,118,145
P20785,510,906,476,792,566,952
F1NFE0,510,906,476,792,566,952
P20111,505,383, ,84,99,111
Q90WH5,501,321, ,46,88,88
P02552,501,353,290,724,694,758
R9PXQ0,495,370, ,82,99,110
F1NHT3,494,333, ,439,456,506
P32882,478,399,311,544,471,544
G1K338,478,396,311,544,472,547
P07322,463,448,979,66,116,100
F1NWP3,456,272,253,347,360,367
P11501,452,206,261,375,347,387
P07751,441,290, ,386,399,453
P02605,430,298,563,65,100,130
F1NZG0,430,298,563,65,100,130
P17785,425,283,237,420,398,471
F1N9J7,419,307,249,597,621,610
P09653,416,342,266,408,375,444
P08110,415,256,187,385,339,429
F1NWB7,415,256,187,385,339,429
H9L340,412,349,393,363,404,423
O73885,406,235,220,297,294,309
P01994,399,238,327,622,816,713
Q5ZLC5,391,349,363,352,400,404
F1NZ78,368,268,362,239,328,260
F1NDE8,367,267,190,491,809,607
F1N8D4,364,179, ,334,311,325
F1NXR6,363,259,250,518,415,492
H9KZK6,351,285,230,522,358,480
F1N8A8,345,102,73,270,325,217
E1BWG0,345,102,73,270,325,217
E1C2S1,344,207, ,380,333,372
R4GJH8,341,245, ,360,382,425
F1ND51,340,243, ,359,380,423
P51913,340,247,338,215,304,234
P09203,338,289,201,431,372,423
P54939,333,199, ,369,321,360
F1NW97,319,206,211,453,379,444
P12276,316,97,67,248,295,195
Q789A6,304,209, ,422,266,353
P13731,304,517,236,468,403,535
F1NVN4,301,139,173,250,226,266
F6U7Z0,300,218, ,5,15,26
Q90835,299,261,179,472,280,408
P12620,298,174,467,7,20,22
A0A0A0MQ44,298,174,467,7,20,22
Q90734,297,162, ,241,228,212
F1N8W3,293,352, ,504,269,424
F1NDL1,292,259, ,13,16,40
Q90593,292,211, ,263,270,324
F1NFS0,291,254, ,284,221,289
F1NGF6,288,212, ,14,13,25
R4GK33,288,252, ,282,218,283
Q90705,287,251, ,281,218,284
Q03669,286,220, ,72,83,95
A0A0A0MQ65,286,220, ,72,83,95
Q5ZL72,282,167,172,205,191,197
P05094,279,178, ,259,151,195
Q5F420,279,98, ,322,431,299
F1P4N9,279,327, ,489,250,398
F1P4L6,278,161,435,7,17,22
R9PXN5,275,181, ,248,149,195
R9PXN4,274,178, ,242,146,192
P09652,270,219,156,333,307,359
O93532,269,70,40,86,103,94
P09645,260,203,174,411,360,383
P00940,258,278,333,173,214,208
F1P088,255,197,94,294,511,353
Q8JG64,251,167,140,236,250,278
P17153,251,135,122,360,359,341
F1NJI0,251,135,122,360,359,341
F1NMU4,248,210,147,287,275,326
F1NI22,239,186,240,229,272,269
E1BZ05,237,227, ,151,162,98
F1NVG9,234,211, ,316,243,274
E1BWX1,234,211, ,316,243,274
P10587,232,84, ,204,147,88
P27731,232,143,140,330,194,365
F1NKL4,231,166, ,262,219,213
F1NGA2,231,180,232,219,261,257
P28675,230,803,308,424,285,530
E1BRE9,230,803,308,424,285,530
Q9W6H0,230,422,257,293,288,431
F1NNW0,229,184, ,7,16,19
Q02173,228,182, ,7,16,19
F1N9S7,228,216,96,362,175,277
R4GHG5,225,107,138,232,112,278
F1NW23,218,143, ,248,236,261
F1NMP5,217,200,149,312,312,291
E1C5Z5,216,129, ,13,28,33
P09102,216,220, ,256,253,271
F1N9H3,216,209,120,256,238,271
E1BY44,213,89,53,143,183,152
F1NDN9,211,48,11,50,47,57
Q01841,209,87,52,141,182,150
E1BXA5,207,79, ,185,136,84
Q90635,207,155,105,273,247,278
Q71SG2,207,155,105,273,247,278
F1P5B0,206,144,139,316,308,314
P09642,205,142,137,313,307,311
P09644,204,148,147,317,216,293
F1NPC4,202,152, ,10,27,38
Q5ZMW1,200,126, ,107,110,113
P16419,198,198, ,6,8,14
P02542,194,178, ,126,161,91
F1NX22,193,944, ,733,126,663
P13648,192,144, ,215,187,215
P13944,187,929, ,720,117,646
E1BV34,187,114,70,197,239,176
F1NG74,186,127,216,90,143,96
H9L0H3,183,106, ,129,157,116
F1N9H4,182,127,144,264,110,189
E1BVT3,181,159,214,163,185,179
Q7SX63,178,139, ,147,179,168
E1C0M1,177,54,63,111,160,193
Q5ZMU9,175,129, ,156,180,168
Q9I9D1,175,124,218,164,211,176
P09643,175,159,115,265,278,248
O93256,172,46,11,49,45,56
P12003,171,74, ,172,181,150
H9KZP5,171,38,24,48,62,37
P04268,168,79, ,42,30,38
R4GM10,168,145,176,101,123,127
Q5ZLN1,168,85,280,47,70,77
F1NMP3,168,152,107,220,260,218
F1NCZ2,163,151, ,217,176,205
F1NM23,163,79, ,39,29,38
P51901,161,151, ,214,181,183
F1NU17,161,134, ,89,77,96
F1NJT3,159,132, ,400,148,210
F1NT57,159,113,83,153,168,138
P08106,158,130, ,125,161,150
F1NY82,156,83, ,162,149,153
P51903,156,133, ,87,75,94
E1BTT8,156,64,175,50,60,56
F1P5V6,156,124,272,27,45,52
F1NGM0,153,64,47,124,198,133
P00340,152,60,168,47,60,54
P02606,151,119,261,27,43,51
P02112,151,39,122,211,256,247
F1NHM9,151,74,253,33,54,62
F1NYY0,148,68, ,151,160,130
F1NED9,148,103, ,47,53,58
F1NSY1,147,44,61,90,98,86
F1NJT4,145,118, ,358,140,191
F1NAC6,145,95,122,88,119,118
F1NK40,144,175, ,227,127,139
F1P494,143,141,96,231,98,199
Q5ZMI4,142,87,53,132,89,108
F1NKR8,142,87,53,132,89,108
Q04619,141,57,66,121,86,104
F1NC33,141,57,66,121,86,104
P10184,140,124,91,216,200,172
F1P360,139,201, ,222,143,224
H9L1F4,138,88,62,123,189,157
Q8AWI4,138,59, ,38,26,34
O93510,136,98, ,199,148,214
F1NI29,136,101, ,106,94,103
P19204,136,113,249,7,5,17
F1NQT9,136,113,249,7,5,17
P02457,133,426, ,291,144,393
E1BT93,131,54,55,84,104,77
R4GJT7,129,94, ,118,145,171
Q5ZIR7,129,56,59,106,162,94
P08070,129,114,79,173,226,175
P98157,128,86, ,139,132,151
F1NN63,128,91, ,51,43,59
F1P1A5,128,46,38,127,132,103
Q5ZME2,128,62,87,84,78,91
F1NI75,126,59, ,115,209,152
F1NKF3,126,93, ,193,138,202
F1NCM5,125,99,64,129,110,139
F1P5H0,124,106, ,9,12,18
F1NIJ6,121,138, ,90,84,98
Q8JFP1,119,62,69,120,101,81
H9KYT1,118,92, ,103,116,109
E1BR38,118,38,36,84,82,77
F1P269,117,31,29,65,52,52
P07341,117,55,31,83,137,120
E1BV78,117,78,58,129,150,155
F1NX83,116,87, ,13,11,15
Q5ZJ23,116,38,36,83,84,76
F1N9Z6,114,80, , ,4,8
E1C3E2,114,80, , ,4,8
F1NP51,113,86, ,102,111,126
P14448,113,101, ,162,169,157
F1P4V1,113,101,76,162,169,157
F1N9Z7,113,50,68,114,82,95
R9PXN1,112,59,65,111,97,76
P24367,112,45,61,130,50,146
F1P180,111,48,98,66,75,76
Q92108,111,112,51,151,100,148
F1NG39,110,69, ,135,150,136
H9L366,110,99, ,77,85,86
H9L0J1,108,27,21,130,113,121
Q02020,108,75, ,132,139,145
F1NUL9,108,75, ,132,139,145
P00508,108,42,94,63,75,74
F1NT30,107,82,70,122,138,156
F1P2J5,107,86,40,121,117,130
F1P5F9,106,74, ,128,134,141
F1NV93,106,38,57,119,43,134
Q5F3T9,105,58, ,96,84,106
R4GJ67,105,71,48,90,77,95
P09572,104,31,47,72,71,63
Q5ZME1,104,62,51,90,99,92
Q5ZLA6,103,64, ,125,140,125
P19352,103,57, ,22,22,23
P14732,102,76, ,93,103,115
Q9YGL9,102,66,171,32,32,40
F1NNV0,102,66,171,32,32,40
F1NMN2,102,96,78,152,131,142
P07583,102,127,69,160,116,173
Q5F424,101,66,52,93,90,90
R4GFR3,98,64, ,103,102,118
Q5ZJZ2,98,71,64,92,79,97
F1NFY2,97,34,29,88,127,88
F1P0H9,97,604, ,221,135,259
Q05706,96,50, ,19,19,19
Q90838,96,40,44,113,202,113
E1C3A9,95,109, ,128,110,116
F1N8P1,95,44, ,104,105,102
P09207,95,58,65,108,96,143
Q5ZI39,94,37,29,113,100,101
E1C7T4,94,139,91,129,100,150
Q5ZJK8,93,39, ,67,57,70
F1NK38,93,39,57,67,57,70
P0CB50,93,53,54,78,66,74
P02467,92,585, ,210,131,250
F1P3P3,92,74,40,104,117,102
P79795,91,41,28,97,94,94
F1NS48,91,70,49,128,94,137
Z4YJB8,91,44,41,100,70,106
Q5ZMG9,90,52, ,86,70,71
P00337,90,57,74,118,137,91
Q09121,90,58,82,72,63,65
A0M8T8,90,17,22,47,63,41
F1NDY9,89,49, ,72,62,84
P24797,89,31, ,30,41,32
Q5ZJ54,89,36, ,88,79,67
F1NWH9,89,36,54,88,79,67
P18359,89,42,35,92,70,98
F1NTC8,89,57,167,27,21,23
P02001,89,36,68,121,145,128
P31335,88,60, ,67,63,71
Q5XKY5,88,60, ,66,61,69
R4GG24,88,55,46,103,96,97
P00789,87,71, ,85,69,82
H9KZP6,87,27,15,32,39,52
Q5ZKC9,87,52,38,91,115,81
F1NYC4,86,41, ,91,75,93
F1NT56,86,52,41,96,90,83
H9KZF8,86,31,58,55,52,70
E1C0Q5,85,52,60,64,92,72
E1BZE6,85,40,43,88,41,69
O93277,84,43, ,89,94,84
F1NRI3,84,43, ,89,94,84
H9L385,84,76,81,127,169,89
F1NN16,84,60,53,92,59,99
F1NYA9,84,59,54,85,44,78
E1C8M9,83,38,35,79,86,84
F1NC38,82,42, ,69,52,68
Q5ZMD1,82,38, ,65,90,54
Q5ZI60,82,53,23,82,45,85
E1C1I6,82,47,40,88,87,78
P35431,82,17,14,38,58,38
H9L3L2,81,100, ,113,74,103
F1NZ86,81,43, ,56,64,53
F1NLV4,81,68,33,99,94,100
P21566,81,42,95,35,23,39
P51890,81,97,68,104,81,142
Q90875,80,31,24,74,58,64
F1NEF6,80,46, ,39,59,50
F1P0K1,79,93, ,119,59,103
Q5ZM98,79,42, ,55,63,51
P33150,79,39,20,59,81,67
F1P5T8,79,39,20,59,81,67
Q90899,79,24,32,82,151,86
P21642,78,23,2,7,13,6
F1NHE8,78,26,20,60,93,64
F1P3F9,77,55,53,61,69,71
R4GKX1,77,51,39,97,90,84
F1P179,76,62, ,88,70,68
F1NY25,76,31,22,70,53,59
F1P2T2,76,59, ,132,147,127
E1C2P9,75,47, ,64,77,65
P11722,75,61, ,203,70,104
Q5ZJA7,75,38, ,53,53,58
Q5F411,75,56, ,87,83,77
F1NK96,75,83,46,87,64,74
P22451,75,51,43,94,82,81
F2Z4K4,75,51,43,94,82,81
P11602,75,11,22,63,70,62
P02607,75,69,69,78,87,82
R4GH03,74,58, ,87,68,68
F1NC26,74,36, ,56,43,44
Q6EE31,74,28, ,77,74,74
F1NGJ7,74,35,28,56,80,65
F1NNK5,74,52,120,2,7,15
E1C0H5,73,35, ,51,51,46
R4GL15,73,56, ,8,6,8
P08250,73,69, ,104,107,129
F1P593,73,75, ,53,45,43
P0C1H4,73,73,58,103,69,118
Q9PSW9,73,73,58,103,69,118
P0C1H3,73,73,58,103,69,118
A0A0A0MQ64,73,73,58,103,69,118
F1NI05,72,58, ,50,57,61
H9KZP2,72,27,25,32,68,46
E1BTT4,72,48, ,53,72,58
F1NPJ4,72,79, ,63,56,65
P63247,72,55,37,94,65,96
R4GGI4,72,27,28,30,65,42
H9L3K0,72,46, ,43,31,43
P05081,72,57,87,15,16,24
Q00649,72,75, ,53,45,43
P35062,72,71,49,86,57,92
P70082,72,72,49,86,57,92
P02263,72,71,49,86,57,92
E1C3A6,71,90, ,73,80,108
F1NNR1,71,30, ,32,38,41
Q9I8D6,71,35, ,67,66,74
Q5ZII1,71,67, ,81,80,90
F1NZJ2,70,27, ,49,66,41
Q5ZMT0,70,73, ,83,79,96
P14315,70,35,40,59,49,46
F1NI79,70,125, ,113,88,133
P05122,69,58,40,50,93,79
F1N8J0,69,63,36,67,43,54
Q05705,69,41, ,23,17,24
Q90631,68,41, ,62,76,59
F1P587,68,52, ,83,105,99
F1P455,68,40, ,68,72,66
P15771,68,47, ,64,54,57
F1NU40,68,47, ,64,54,57
E1C0F1,68,43,32,68,47,59
P08284,68,26,27,55,50,65
P81021,67,93, ,109,92,101
F1NEF2,67,24, ,68,71,62
H9KZI4,67,31,46,74,77,59
F1NBV0,67,55,41,46,76,55
F6SG96,67,31, ,57,38,51
E1BZR1,67,32, ,57,38,52
F6UGI5,67,41,31,64,84,59
E1BU93,67,63,93,4, ,10
E1BWG1,66,51, ,64,53,55
Q08200,66,45,42,70,49,80
P38024,65,32,37,57,64,52
R9PXP8,65,32,37,57,64,52
F2Z4K7,65,58,51,74,62,74
Q9YHT1,65,75, ,57,52,61
Q5ZHZ0,65,45, ,72,76,72
E1BR45,64,24, ,65,59,58
Q5F426,64,38, ,33,37,34
Q8QH01,64,32,15,111,135,144
F1N823,64,28, ,35,42,41
F1N8Q1,64,46,48,72,63,62
E1C6A1,63,51, ,35,28,34
F1NPA9,63,32, ,53,62,54
F1P582,63,40, ,49,54,49
F1NVF3,63,72, ,63,43,94
H9L074,63,41, ,40,28,37
E1BR14,63,26,12,37,45,34
P84229,63,43,27,68,28,54
E1BT53,62,57, , , , 
Q9YGW6,62,24,14,34,45,31
F1NIX2,62,46, ,65,40,57
Q5ZIY8,62,56, ,70,62,60
P08286,62,26,26,53,49,60
P19966,62,24,6,82,10,41
F1NCU9,62,31,23,45,44,69
E1C0T6,61,31,24,77,66,66
F1NZ04,61,56, ,21,30,31
P08285,61,23,26,50,43,56
Q90952,61,33,23,43,46,69
Q07460,61,23,48,40,45,34
F1NRM8,61,26,21,36,47,49
F1NSZ5,60,15, ,36,48,33
E1C544,60,32, ,75,94,60
F1P336,60,46, ,64,53,56
E1BR61,60,56, ,21,31,32
P09987,60,26,26,51,42,63
F1NPJ2,60,26,26,50,42,63
F1NP23,59,29, ,51,48,53
E1C866,59,49,23,78,59,55
P00368,59,43, ,46,60,52
O93467,59,29,34,71,59,60
Q5ZKI1,59,31,24,40,43,47
R4GHX2,59,80,38,99,69,118
E1C7P4,58,57, ,77,64,68
F1NLP7,58,31, ,69,52,54
Q90WD0,58,30,37,61,70,55
P07228,58,23,27,59,56,51
F1N8N7,58,25,27,59,56,51
F1P4H4,58,56, ,60,51,69
Q5ZJF4,58,47, ,37,71,45
F1P463,58,34,20,75,56,53
R4GJK8,58,32, ,57,63,52
H9KYX6,58,32, ,57,63,52
F1P2P9,58,64,38,73,68,83
P81628,58,22,20,30,43,46
F1NP60,57,65, ,69,67,88
F1NBS9,57,28,18,43,71,58
P47826,57,46, ,72,72,74
R4GKX4,57,31,25,64,31,51
P08287,57,26,24,49,49,59
F1NEG6,57,36,29,47,52,46
A4UNW1,57,43, ,7,8,13
H9KZ27,57,19,14,24,29,40
P16039,57,34,23,59,55,70
F1NVA4,57,33,25,66,56,70
R4GKZ0,57,33,34,55,36,62
Q5ZHR4,56,34, ,49,34,42
P24798,56,25, ,33,40,33
F6SU00,56,36,24,39,40,43
E1BXC2,56,25,36,37,24,59
P08288,56,28,26,48,52,59
F1NME1,56,28,26,49,52,59
Q9YH06,56,23,11,63,48,60
F1NUQ3,56,31,29,79,117,82
Q9YGQ1,56,38,37,57,30,58
R4GJS6,55,65, ,86,89,66
E1BY12,55,45, ,75,84,72
F1NE72,55,24, ,48,49,45
E1BR47,55,36, , ,4,5
E1C0X2,55,36, , ,4,5
F1NFD9,55,27, ,27,41,36
F1NJ97,55,27, ,27,41,36
Q90W83,55,30,25,25,38,42
F1NJ73,55,25,21,46,50,43
Q5F3D2,55,32,20,35,40,40
P02611,55,41, ,7,8,13
P68246,55,70, ,5,13,17
E1BUD3,55,70,130,5,13,17
R4GJP9,55,70,43,82,45,77
F1NB52,54,52, ,71,58,70
F1NY05,54,36, ,54,43,47
E1C453,54,36,28,54,42,59
F1NU79,54,27,29,50,42,42
F1P3F1,54,20, ,46,44,35
Q5F464,54,26, ,56,36,40
F1NZ30,54,48,28,40,73,64
O57391,54,38,82,50,49,42
P80566,54,35,41,59,52,51
Q5ZIA5,53,47, ,67,59,68
H9KZT6,53,63, ,82,87,62
F1NNX7,53,20, ,37,52,37
E1C3Y5,53,43, ,74,46,58
Q9PU45,53,35, ,61,90,55
E1BVH4,53,30,17,49,38,40
F1NQD9,53,35, ,61,90,55
F1NVD4,53,18, ,31,21,21
Q90577,53,36, , ,4,5
F1P2A6,53,32,19,43,46,46
Q5ZLD1,53,43, ,39,41,42
Q5ZMJ6,53,34, ,23,23,19
P07630,53,27,40,75,76,103
F1NK75,53,35, ,30,17,23
O57535,53,56,57,62,55,77
P43347,53,10,43,39,30,32
F1NMM5,53,43,27,77,87,87
Q5ZLW0,52,24,19,46,48,51
Q5ZIQ3,52,33, ,46,44,54
F1NP63,52,20,19,53,49,48
H9L0I0,52,33, ,46,44,54
F1NJH2,52,8, ,12,18,19
F1NB66,52,42, ,69,69,69
F1NN08,52,21,35,59,47,47
Q5ZJ70,51,32, ,48,36,41
Q5ZLK7,51,32, ,47,42,43
H9L1C2,51,6,8,14,19,7
Q90864,51,14,48,74,67,79
E1C4Z6,50,31,16,54,59,46
E1C6J4,50,31,16,54,59,46
Q5F3B9,50,32, ,29,36,29
F1NSP8,50,24, ,55,51,48
F1NZU2,50,34,24,71,53,52
E1BW98,50,31,21,58,39,53
Q04205,49,30, ,58,51,58
Q02391,49,45, ,62,48,63
D5LPR1,49,25, ,50,38,47
E1BSN7,49,25, ,17,20,19
F1NH81,49,38, ,55,49,52
F1NIM4,49,21,25,47,34,41
P49024,49,18,17,43,38,39
E1C852,49,16,19,59,17,30
E1BZG4,49,32,39,51,41,53
H9L0R7,49,25, ,11,14,15
E1C4M0,49,31,35,59,45,53
P08629,49,38,18,31,24,34
F1NGP9,49,17,16,37,46,42
E1C2R8,48,32, ,41,40,46
Q5ZIZ0,48,19,20,33,44,38
Q5ZMH1,48,43, ,61,69,58
P11009,48,100, ,8,9,13
E1BQD1,48,29,27,34,25,25
F1NAD3,48,100, ,8,9,13
Q5ZJ56,48,34,29,42,29,51
F1NJ54,48,32, ,35,30,27
F1NCV1,48,32, ,35,30,27
F1NCI6,48,34,29,42,29,51
P24032,48,30,21,57,34,40
E1C6R9,48,30,21,57,34,40
F1NJ23,47,24, ,29,44,34
E1C016,47,39, ,62,52,53
Q5ZKP6,47,27, ,37,44,39
E1C0F3,47,30,21,44,37,53
Q6PVZ5,47,21,24,25,61,33
E1BTG1,47,38,37,35,31,49
Q5ZL80,46,27, ,43,39,48
F1NJW0,46,24,14,42,91,54
F1NXN8,46,48, ,42,53,35
F1NNS1,46,23, ,48,31,57
F1N9U8,46,27, ,28,32,20
E1BYN7,46,22, ,22,30,18
Q5ZHX1,46,26,22,57,54,47
E1BV75,46,22,17,45,46,29
F1N8B2,45,45, ,60,47,61
F1P2G4,45,27, ,60,27,48
F1NMN7,45,20, ,30,50,30
F1NGS7,45,19,33,51,25,44
P50890,45,32,41,36,53,61
F1NA76,45,43,23,43,39,49
E1C3A1,44,22, ,48,52,42
P00504,44,50, ,33,37,39
F1NTM7,44,52, ,34,35,37
P47836,44,30, ,42,42,40
F1NFC6,44,30, ,42,42,40
P12105,44,39, ,45,50,59
P48440,44,21,33,45,28,54
F1N8F0,44,7,16,37,91,35
P53449,44,38,44,28,27,29
F1NHL2,43,13,16,41,38,32
E1C7H6,43,81, ,84,39,76
F1NDH2,43,37, ,80,42,75
F1NIB4,43,15,16,25,22,31
P67966,43,11,12,31,31,27
F1NTV6,42,25,13,43,41,42
R4GKQ7,42,23, ,42,28,66
F1NEA1,42,23, ,42,28,66
Q5ZMB8,42,10,18,26,21,25
Q5ZMK3,42,33, ,35,38,40
F1NS75,42,25,9,11,17,24
F1P5K0,42,27,17,38,31,42
Q5ZML3,42,25, ,41,36,43
F1NMY1,42,21, ,31,37,24
E1C7A7,42,53,23,48,50,56
R4GGE2,42,32, ,61,26,61
F1NNS8,42,37,32,56,42,54
E1BYD4,42,22,10,33,43,37
F1NZL2,41,11, ,37,34,16
F1NV96,41,7,3,6,25,24
F1NAM2,41,26, ,40,64,39
F1NCI1,41,31, ,49,57,41
E1C155,41,15, ,22,39,23
O42484,41,29, ,57,55,54
F1NPG2,41,25, ,50,46,54
Q07598,41,12, ,21,40,23
E1C8K3,41,4,5,15,12,20
F6QGI8,41,17,5,16,7,7
P70081,41,32,37,55,59,60
P62801,41,32,37,55,59,60
E1BVC4,41,20,13,26,42,34
E1BW21,40,47, ,76,19,41
P14731,40,25, ,40,62,39
E1BX02,40,27,18,42,39,39
P20136,40,28, ,42,31,31
H9KZN0,40,11, ,3,7, 
F1NT28,40,15,18,25,36,29
F1NIX0,40,46, ,28,24,40
E1BZS2,40,21, ,32,39,28
P0C1H5,40,30,29,43,35,50
F1P555,39,36,22,36,34,35
P28497,39,26, ,32,24,34
F1NB64,39,14,5,34,33,29
F1NSS4,39,13,11,20,38,22
Q5ZM25,39,11, ,27,16,25
Q5ZM32,39,15, ,34,22,32
E1BZH9,39,20, ,33,23,27
E1BZE1,39,35,20,29,37,43
E1C5P6,38,22, ,57,48,47
F1P4P8,38,25,16,38,32,33
